,playerID,yearID,round,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
114,mathech01,1911,WS,NY1,NL,26.0,50.0,29.0,38.0,26.0,1.0,1.0,82.0,40.0,24.0,21.0,7.0,38.0,26.0,,26.0,1.0,1.0,1.0,107.0,1.0,23.0,58.0,34.0,1.0
115,planked01,1911,WS,PHA,AL,26.0,26.0,15.0,13.0,13.0,1.0,1.0,30.0,10.0,9.0,1.0,1.0,24.0,19.0,,1.0,1.0,26.0,1.0,36.0,18.0,6.0,1.0,34.0,1.0
116,wiltsho01,1911,WS,NY1,NL,1.0,1.0,15.0,1.0,1.0,1.0,1.0,11.0,13.0,28.0,1.0,1.0,7.0,48.0,,1.0,1.0,1.0,1.0,20.0,18.0,23.0,15.0,34.0,1.0
117,amesre01,1912,WS,NY1,NL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,6.0,5.0,1.0,4.0,1.0,38.0,,1.0,1.0,1.0,1.0,11.0,18.0,4.0,15.0,1.0,1.0
118,bediehu01,1912,WS,BOS,AL,26.0,1.0,43.0,26.0,13.0,1.0,1.0,55.0,16.0,5.0,1.0,23.0,21.0,18.0,,1.0,1.0,50.0,1.0,70.0,34.0,6.0,15.0,1.0,18.0
119,collira01,1912,WS,BOS,AL,1.0,1.0,15.0,13.0,1.0,1.0,1.0,44.0,23.0,12.0,1.0,1.0,18.0,28.0,,1.0,1.0,1.0,1.0,54.0,18.0,15.0,1.0,34.0,1.0
120,cranddo01,1912,WS,NY1,NL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,3.0,1.0,1.0,1.0,7.0,18.0,,1.0,1.0,1.0,1.0,8.0,18.0,1.0,15.0,1.0,1.0
121,hallch02,1912,WS,BOS,AL,1.0,1.0,15.0,1.0,1.0,1.0,1.0,33.0,18.0,16.0,21.0,29.0,4.0,28.0,,50.0,1.0,1.0,1.0,52.0,18.0,18.0,1.0,34.0,1.0
122,marquru01,1912,WS,NY1,NL,50.0,1.0,15.0,26.0,26.0,1.0,1.0,55.0,23.0,5.0,1.0,7.0,26.0,22.0,,1.0,1.0,1.0,1.0,70.0,1.0,9.0,15.0,1.0,18.0
123,mathech01,1912,WS,NY1,NL,1.0,50.0,29.0,38.0,38.0,1.0,1.0,87.0,37.0,12.0,1.0,16.0,29.0,22.0,,26.0,1.0,1.0,1.0,115.0,1.0,31.0,15.0,34.0,1.0
124,obriebu01,1912,WS,BOS,AL,1.0,50.0,15.0,26.0,1.0,1.0,1.0,28.0,20.0,20.0,1.0,10.0,12.0,36.0,,1.0,1.0,1.0,100.0,41.0,1.0,20.0,29.0,34.0,1.0
