playerID,birthYear,birthMonth,birthDay,birthCountry,birthState,deathYear,deathMonth,deathDay,deathCountry,deathState,weight,height,bats,throws
stovira01,1051.0,46.0,18.0,USA,PA,1688.0,10.0,74.0,Costa Rica,Guanacaste,164.0,75.0,L,L
stowech01,1703.0,64.0,57.0,USA,MO,,,,,,164.0,80.0,L,L
stoweha01,1294.0,64.0,93.0,USA,NC,,,,,,132.0,73.0,L,L
stoweky01,1968.0,1.0,4.0,USA,CA,,,,,,170.0,80.0,L,L
stpiema01,1769.0,28.0,54.0,CAN,QC,,,,,,139.0,73.0,R,R
strahdi01,1139.0,100.0,11.0,USA,IL,1554.0,37.0,84.0,USA,NV,160.0,73.0,L,R
strahma01,1891.0,91.0,37.0,USA,ND,,,,,,157.0,78.0,R,L
strahmi01,1404.0,19.0,44.0,USA,IL,1929.0,55.0,44.0,USA,NM,145.0,83.0,R,R
straida01,1857.0,100.0,1.0,USA,CA,,,,,,195.0,78.0,R,R
straijo01,1482.0,28.0,97.0,USA,CO,,,,,,131.0,68.0,R,R
strakle01,1537.0,82.0,31.0,Venezuela,Bolivar,,,,,,161.0,75.0,R,R
strambo01,1437.0,46.0,41.0,USA,WI,,,,,,151.0,75.0,B,R
stranal01,951.0,91.0,21.0,USA,PA,1635.0,46.0,87.0,USA,WA,122.0,65.0,R,R
strando01,1592.0,28.0,41.0,USA,SC,,,,,,132.0,78.0,B,R
stranla01,719.0,100.0,14.0,USA,IL,1139.0,1.0,60.0,USA,IL,126.0,68.0,R,R
stranpa01,808.0,100.0,60.0,USA,WA,1367.0,55.0,4.0,USA,UT,157.0,73.0,R,L
stranpa02,1769.0,64.0,74.0,USA,MA,,,,,,224.0,85.0,R,R
stransa01,620.0,100.0,50.0,USA,TN,804.0,19.0,41.0,USA,TN,120.0,63.0,B,R
strasst01,1857.0,55.0,64.0,USA,CA,,,,,,219.0,85.0,R,R
stratas01,366.0,10.0,31.0,USA,MA,711.0,64.0,44.0,USA,MA,,,,
stratch01,1879.0,64.0,70.0,USA,MS,,,,,,176.0,78.0,R,R
strated01,377.0,,,USA,MD,376.0,1.0,100.0,USA,MD,,,,
stratmo01,1018.0,37.0,67.0,USA,TX,1474.0,73.0,93.0,USA,TX,145.0,85.0,R,R
stratsc01,542.0,82.0,4.0,USA,KY,898.0,19.0,24.0,USA,KY,145.0,73.0,L,R
straujo01,421.0,1.0,60.0,USA,WI,764.0,10.0,41.0,USA,CO,120.0,68.0,R,R
straujo02,421.0,91.0,50.0,USA,OH,456.0,46.0,77.0,USA,OH,139.0,65.0,R,R
straury01,1857.0,19.0,11.0,USA,IN,,,,,,151.0,73.0,R,R
strawda01,1570.0,19.0,37.0,USA,CA,,,,,,157.0,88.0,L,L
strawmy01,1924.0,82.0,54.0,USA,CA,,,,,,142.0,68.0,R,R
streega01,686.0,73.0,97.0,USA,AL,1059.0,10.0,18.0,USA,MO,145.0,70.0,R,R
streehu01,1802.0,64.0,4.0,USA,TX,,,,,,176.0,73.0,R,R
streios01,587.0,55.0,21.0,USA,AL,845.0,19.0,50.0,USA,AL,157.0,85.0,L,L
streled01,940.0,28.0,31.0,USA,NJ,1287.0,1.0,27.0,USA,NJ,145.0,70.0,R,R
stremph01,664.0,28.0,50.0,USA,OH,1005.0,100.0,84.0,USA,IL,139.0,73.0,R,R
streuwa01,1272.0,73.0,84.0,USA,TN,1943.0,1.0,60.0,USA,NC,164.0,78.0,R,R
stricbi01,973.0,19.0,93.0,USA,GA,1715.0,1.0,84.0,USA,FL,132.0,78.0,R,R
striccu01,432.0,46.0,24.0,USA,PA,871.0,91.0,60.0,USA,PA,92.0,50.0,R,R
stricel01,620.0,64.0,93.0,USA,KS,1233.0,46.0,21.0,USA,CA,95.0,58.0,R,R
stricge01,1172.0,1.0,31.0,USA,LA,1849.0,10.0,67.0,USA,LA,139.0,75.0,R,R
strichu01,1857.0,73.0,77.0,USA,GA,,,,,,201.0,80.0,R,R
stricji01,1393.0,46.0,37.0,USA,CA,,,,,,139.0,73.0,L,L
stricjo01,421.0,73.0,47.0,USA,PA,818.0,91.0,57.0,USA,PA,,,,
stricsc01,1725.0,28.0,84.0,USA,TX,,,,,,145.0,70.0,R,R
stridsp01,1968.0,82.0,90.0,USA,OH,,,,,,164.0,73.0,R,R
striege01,399.0,82.0,50.0,USA,OH,992.0,28.0,1.0,USA,OH,135.0,60.0,R,R
strikja01,1250.0,82.0,74.0,USA,OH,1889.0,19.0,21.0,USA,OR,170.0,78.0,L,L
strikjo01,498.0,,,USA,PA,,,,,,,,,
strinlo01,1073.0,37.0,41.0,USA,MI,1822.0,82.0,60.0,USA,CA,136.0,70.0,R,R
strinni01,1051.0,19.0,1.0,USA,IN,1862.0,91.0,34.0,USA,IN,145.0,75.0,R,R
stripjo01,918.0,10.0,8.0,USA,NJ,1568.0,46.0,31.0,USA,FL,139.0,70.0,R,R
stripro01,1868.0,91.0,74.0,USA,PA,,,,,,189.0,75.0,R,R
stritma01,1647.0,28.0,11.0,USA,NY,,,,,,170.0,75.0,R,R
strobal01,708.0,46.0,34.0,USA,MA,1112.0,10.0,31.0,USA,FL,120.0,73.0,R,R
strohjo01,1393.0,82.0,41.0,USA,SD,1969.0,91.0,90.0,USA,CA,146.0,75.0,R,R
strombr01,1415.0,82.0,44.0,USA,CA,,,,,,156.0,80.0,R,L
stromfl01,1062.0,64.0,1.0,USA,ND,1621.0,10.0,21.0,USA,WA,132.0,70.0,R,R
stromma01,1891.0,37.0,1.0,USA,NY,,,,,,145.0,60.0,R,R
stronja01,1747.0,64.0,14.0,USA,CA,,,,,,145.0,68.0,R,R
stronji01,896.0,37.0,93.0,USA,IL,1380.0,100.0,18.0,USA,NC,139.0,68.0,R,R
stronjo01,1570.0,73.0,27.0,USA,CA,,,,,,170.0,73.0,B,R
stroppe01,1824.0,46.0,41.0,D.R.,San Cristobal,,,,,,195.0,75.0,R,R
