,playerID,yearID,stint,Glf,Gcf,Grf
6762,leebi01,1916,1.0,1.0,3.0,3.0
6763,leibone01,1916,1.0,3.0,17.0,7.0
6764,lewisdu01,1916,1.0,136.0,16.0,1.0
6765,lohrho01,1916,1.0,1.0,1.0,4.0
6766,longto01,1916,1.0,4.0,13.0,94.0
6767,mageele01,1916,1.0,22.0,107.0,1.0
6768,mageesh01,1916,1.0,102.0,4.0,20.0
6769,maharbi01,1916,1.0,1.0,1.0,2.0
6770,maisefr01,1916,1.0,1.0,27.0,1.0
6771,mannle01,1916,1.0,75.0,21.0,27.0
6772,marsaar01,1916,1.0,1.0,150.0,1.0
6773,mcelwle01,1916,1.0,1.0,1.0,10.0
6774,mcnalmi01,1916,1.0,1.0,2.0,1.0
6775,menosmi01,1916,1.0,2.0,9.0,1.0
6776,merklfr01,1916,26.0,4.0,2.0,1.0
6777,milancl01,1916,1.0,1.0,149.0,1.0
6778,milleel01,1916,1.0,19.0,10.0,16.0
6779,milleha01,1916,1.0,1.0,3.0,2.0
6780,millewa02,1916,1.0,4.0,1.0,133.0
6781,mitchcl01,1916,1.0,6.0,1.0,1.0
6782,mittera01,1916,1.0,2.0,12.0,1.0
6783,moellda01,1916,1.0,24.0,1.0,41.0
6784,moellda01,1916,26.0,4.0,3.0,4.0
6785,mollwfr01,1916,26.0,5.0,1.0,3.0
6786,mullech01,1916,1.0,2.0,3.0,4.0
6787,murphed02,1916,1.0,1.0,1.0,25.0
6788,myershy01,1916,1.0,1.0,105.0,2.0
6789,nealegr01,1916,1.0,79.0,56.0,3.0
6790,nixonal01,1916,1.0,2.0,1.0,1.0
6791,obriera01,1916,1.0,8.0,1.0,8.0
6792,oldriru01,1916,1.0,41.0,1.0,1.0
6793,oldriru01,1916,26.0,1.0,3.0,42.0
6794,package01,1916,1.0,4.0,1.0,1.0
6795,paskedo01,1916,1.0,3.0,145.0,1.0
6796,pfeffje01,1916,1.0,3.0,1.0,1.0
6797,pickch01,1916,1.0,6.0,4.0,1.0
6798,ricesa01,1916,1.0,5.0,1.0,43.0
6799,roberda01,1916,1.0,1.0,1.0,144.0
6800,rondehe01,1916,1.0,32.0,1.0,18.0
6801,rothbr01,1916,1.0,1.0,10.0,103.0
6802,roushed01,1916,1.0,1.0,6.0,11.0
6803,roushed01,1916,26.0,1.0,70.0,1.0
6804,roweha01,1916,1.0,1.0,1.0,2.0
6805,schaege01,1916,1.0,1.0,1.0,1.0
6806,schanwa01,1916,1.0,59.0,4.0,1.0
6807,schulfr01,1916,1.0,67.0,1.0,2.0
6808,schulfr01,1916,26.0,21.0,1.0,29.0
6809,schuljo03,1916,1.0,5.0,1.0,4.0
6810,seiboso01,1916,1.0,1.0,2.0,1.0
6811,shankho01,1916,1.0,73.0,4.0,14.0
6812,shortch01,1916,1.0,14.0,20.0,2.0
6813,shottbu01,1916,1.0,156.0,1.0,1.0
6814,sislege01,1916,1.0,2.0,3.0,1.0
6815,smithea01,1916,1.0,7.0,1.0,2.0
6816,smithel02,1916,1.0,2.0,1.0,57.0
6817,smithel02,1916,26.0,11.0,1.0,36.0
6818,smithja03,1916,1.0,2.0,109.0,12.0
6819,smithpa01,1916,1.0,11.0,1.0,1.0
6820,snodgfr01,1916,1.0,1.0,110.0,1.0
6821,speaktr01,1916,1.0,1.0,151.0,1.0
